Country,IUCN,Species,Value
Canada,ENDANGERED,Mammals,10.0
Canada,ENDANGERED,Marine Fish,11.0
Canada,ENDANGERED,Mosses,85.0
Canada,ENDANGERED,Vascular plants,325.0
Canada,TOT_KNOWN,Amphibians,47.0
Canada,TOT_KNOWN,Birds,674.0
Canada,TOT_KNOWN,Fish,1376.0
Canada,TOT_KNOWN,Freshwater Fish,165.0
Canada,TOT_KNOWN,Invertebrates,19938.0
Canada,TOT_KNOWN,Lichens,857.0
Canada,TOT_KNOWN,Mammals,221.0
Canada,TOT_KNOWN,Marine Fish,1211.0
Canada,TOT_KNOWN,Mosses,1373.0
Canada,TOT_KNOWN,Vascular plants,5185.0
Canada,VULNERABLE,Amphibians,9.0
Canada,VULNERABLE,Birds,48.0
Canada,VULNERABLE,Fish,54.0
Canada,VULNERABLE,Freshwater Fish,16.0
Canada,VULNERABLE,Invertebrates,765.0
Canada,VULNERABLE,Lichens,63.0
Canada,VULNERABLE,Mammals,31.0
Canada,VULNERABLE,Marine Fish,38.0
Canada,VULNERABLE,Mosses,134.0
Canada,VULNERABLE,Vascular plants,467.0
Chile,CRITICAL,Amphibians,10.0
Chile,CRITICAL,Birds,2.0
Chile,CRITICAL,Fish,1.0
Chile,CRITICAL,Freshwater Fish,1.0
Chile,CRITICAL,Invertebrates,33.0
Chile,CRITICAL,Mammals,3.0
Chile,CRITICAL,Mosses,1.0
Chile,CRITICAL,Reptiles,9.0
Chile,CRITICAL,Vascular plants,74.0
Chile,ENDANGERED,Amphibians,23.0
Chile,ENDANGERED,Birds,25.0
Chile,ENDANGERED,Fish,23.0
Chile,ENDANGERED,Freshwater Fish,23.0
Chile,ENDANGERED,Invertebrates,63.0
Chile,ENDANGERED,Mammals,13.0
Chile,ENDANGERED,Mosses,4.0
Chile,ENDANGERED,Reptiles,18.0
Chile,ENDANGERED,Vascular plants,199.0
Chile,TOT_KNOWN,Amphibians,65.0
Chile,TOT_KNOWN,Birds,510.0
Chile,TOT_KNOWN,Fish,1272.0
Chile,TOT_KNOWN,Freshwater Fish,72.0
Chile,TOT_KNOWN,Invertebrates,12220.0
Chile,TOT_KNOWN,Mammals,185.0
Chile,TOT_KNOWN,Mosses,923.0
Chile,TOT_KNOWN,Reptiles,140.0
Chile,TOT_KNOWN,Vascular plants,6103.0
Chile,VULNERABLE,Amphibians,11.0
Chile,VULNERABLE,Birds,19.0
Chile,VULNERABLE,Fish,14.0
Chile,VULNERABLE,Freshwater Fish,13.0
Chile,VULNERABLE,Invertebrates,23.0
Chile,VULNERABLE,Mammals,20.0
Chile,VULNERABLE,Mosses,4.0
Chile,VULNERABLE,Reptiles,25.0
Chile,VULNERABLE,Vascular plants,153.0
Colombia,CRITICAL,Amphibians,75.0
Colombia,CRITICAL,Birds,16.0
Colombia,CRITICAL,Fish,7.0
Colombia,CRITICAL,Freshwater Fish,2.0
Colombia,CRITICAL,Invertebrates,6.0
Colombia,CRITICAL,Lichens,0.0
Colombia,CRITICAL,Marine Fish,1.0
Colombia,CRITICAL,Mosses,6.0
Colombia,CRITICAL,Reptiles,11.0
Colombia,CRITICAL,Vascular plants,112.0
Colombia,ENDANGERED,Amphibians,123.0
Colombia,ENDANGERED,Birds,40.0
Colombia,ENDANGERED,Fish,10.0
Colombia,ENDANGERED,Freshwater Fish,3.0
Colombia,ENDANGERED,Invertebrates,44.0
Colombia,ENDANGERED,Lichens,0.0
Colombia,ENDANGERED,Marine Fish,2.0
Colombia,ENDANGERED,Mosses,4.0
Colombia,ENDANGERED,Reptiles,16.0
Colombia,ENDANGERED,Vascular plants,264.0
Colombia,TOT_KNOWN,Amphibians,850.0
Colombia,TOT_KNOWN,Birds,1954.0
Colombia,TOT_KNOWN,Fish,4192.0
Colombia,TOT_KNOWN,Freshwater Fish,1610.0
Colombia,TOT_KNOWN,Invertebrates,10999.0
Colombia,TOT_KNOWN,Lichens,1673.0
Colombia,TOT_KNOWN,Marine Fish,2582.0
Colombia,TOT_KNOWN,Mosses,1718.0
Colombia,TOT_KNOWN,Reptiles,743.0
Colombia,TOT_KNOWN,Vascular plants,24633.0
Colombia,VULNERABLE,Amphibians,101.0
Colombia,VULNERABLE,Birds,80.0
Colombia,VULNERABLE,Fish,92.0
Colombia,VULNERABLE,Freshwater Fish,46.0
Colombia,VULNERABLE,Invertebrates,48.0
Colombia,VULNERABLE,Lichens,0.0
Colombia,VULNERABLE,Marine Fish,9.0
Colombia,VULNERABLE,Mosses,32.0
Colombia,VULNERABLE,Reptiles,17.0
Colombia,VULNERABLE,Vascular plants,345.0
Costa Rica,CRITICAL,Amphibians,23.0
Costa Rica,CRITICAL,Birds,2.0
Costa Rica,CRITICAL,Fish,1.0
Costa Rica,CRITICAL,Invertebrates,3.0
Costa Rica,CRITICAL,Mammals,1.0
Costa Rica,CRITICAL,Reptiles,2.0
Costa Rica,CRITICAL,Vascular plants,4.0
Costa Rica,ENDANGERED,Amphibians,22.0
Costa Rica,ENDANGERED,Birds,8.0
Costa Rica,ENDANGERED,Fish,9.0
Costa Rica,ENDANGERED,Invertebrates,13.0
Costa Rica,ENDANGERED,Mammals,7.0
Costa Rica,ENDANGERED,Reptiles,5.0
Costa Rica,ENDANGERED,Vascular plants,47.0
Costa Rica,TOT_KNOWN,Amphibians,192.0
Costa Rica,TOT_KNOWN,Birds,888.0
Costa Rica,TOT_KNOWN,Fish,1835.0
Costa Rica,TOT_KNOWN,Invertebrates,447.0
Costa Rica,TOT_KNOWN,Mammals,241.0
Costa Rica,TOT_KNOWN,Reptiles,173.0
Costa Rica,TOT_KNOWN,Vascular plants,1179.0
Costa Rica,VULNERABLE,Amphibians,16.0
Costa Rica,VULNERABLE,Birds,20.0
Costa Rica,VULNERABLE,Fish,58.0
Costa Rica,VULNERABLE,Invertebrates,15.0
Costa Rica,VULNERABLE,Mammals,10.0
Costa Rica,VULNERABLE,Reptiles,5.0
Costa Rica,VULNERABLE,Vascular plants,86.0
Czech Republic,CRITICAL,Amphibians,1.0
Czech Republic,CRITICAL,Birds,35.0
Czech Republic,CRITICAL,Fish,15.0
Czech Republic,CRITICAL,Freshwater Fish,15.0
Czech Republic,CRITICAL,Invertebrates,1014.0
Czech Republic,CRITICAL,Lichens,136.0
Czech Republic,CRITICAL,Mammals,10.0
Czech Republic,CRITICAL,Mosses,70.0
Czech Republic,CRITICAL,Reptiles,1.0
Czech Republic,CRITICAL,Vascular plants,284.0
Czech Republic,ENDANGERED,Amphibians,3.0
Czech Republic,ENDANGERED,Birds,35.0
Czech Republic,ENDANGERED,Fish,2.0
Czech Republic,ENDANGERED,Freshwater Fish,2.0
Czech Republic,ENDANGERED,Invertebrates,1173.0
Czech Republic,ENDANGERED,Lichens,186.0
Czech Republic,ENDANGERED,Mammals,1.0
Czech Republic,ENDANGERED,Mosses,88.0
Czech Republic,ENDANGERED,Reptiles,3.0
Czech Republic,ENDANGERED,Vascular plants,412.0
Czech Republic,TOT_KNOWN,Amphibians,12.0
Czech Republic,TOT_KNOWN,Birds,237.0
Czech Republic,TOT_KNOWN,Fish,99.0
Czech Republic,TOT_KNOWN,Freshwater Fish,99.0
Czech Republic,TOT_KNOWN,Invertebrates,32627.0
Czech Republic,TOT_KNOWN,Lichens,1526.0
Czech Republic,TOT_KNOWN,Mammals,95.0
Czech Republic,TOT_KNOWN,Mosses,892.0
Czech Republic,TOT_KNOWN,Reptiles,12.0
Czech Republic,TOT_KNOWN,Vascular plants,2256.0
Czech Republic,VULNERABLE,Amphibians,3.0
Czech Republic,VULNERABLE,Birds,45.0
Czech Republic,VULNERABLE,Fish,8.0
Czech Republic,VULNERABLE,Freshwater Fish,8.0
Czech Republic,VULNERABLE,Invertebrates,1339.0
Czech Republic,VULNERABLE,Lichens,247.0
Czech Republic,VULNERABLE,Mammals,4.0
Czech Republic,VULNERABLE,Mosses,93.0
Czech Republic,VULNERABLE,Reptiles,3.0
Czech Republic,VULNERABLE,Vascular plants,212.0
Denmark,CRITICAL,Amphibians,1.0
Denmark,CRITICAL,Birds,24.0
Denmark,CRITICAL,Fish,3.0
Denmark,CRITICAL,Invertebrates,104.0
Denmark,CRITICAL,Lichens,84.0
Denmark,CRITICAL,Mammals,1.0
Denmark,CRITICAL,Mosses,5.0
Denmark,CRITICAL,Vascular plants,33.0
Denmark,ENDANGERED,Amphibians,4.0
Denmark,ENDANGERED,Birds,15.0
Denmark,ENDANGERED,Fish,3.0
Denmark,ENDANGERED,Invertebrates,179.0
Denmark,ENDANGERED,Lichens,50.0
Denmark,ENDANGERED,Mammals,2.0
Denmark,ENDANGERED,Mosses,13.0
Denmark,ENDANGERED,Vascular plants,101.0
Denmark,TOT_KNOWN,Amphibians,15.0
Denmark,TOT_KNOWN,Birds,241.0
Denmark,TOT_KNOWN,Fish,238.0
Denmark,TOT_KNOWN,Invertebrates,4270.0
Denmark,TOT_KNOWN,Lichens,1002.0
Denmark,TOT_KNOWN,Mammals,71.0
Denmark,TOT_KNOWN,Mosses,452.0
Denmark,TOT_KNOWN,Vascular plants,2918.0
Denmark,VULNERABLE,Amphibians,1.0
Denmark,VULNERABLE,Birds,45.0
Denmark,VULNERABLE,Fish,2.0
Denmark,VULNERABLE,Invertebrates,319.0
Denmark,VULNERABLE,Lichens,87.0
Denmark,VULNERABLE,Mammals,6.0
Denmark,VULNERABLE,Mosses,33.0
Denmark,VULNERABLE,Vascular plants,28.0
Estonia,CRITICAL,Birds,23.0
Estonia,CRITICAL,Fish,3.0
Estonia,CRITICAL,Freshwater Fish,3.0
Estonia,CRITICAL,Invertebrates,39.0
Estonia,CRITICAL,Lichens,64.0
Estonia,CRITICAL,Marine Fish,2.0
Estonia,CRITICAL,Mosses,19.0
Estonia,CRITICAL,Vascular plants,35.0
Estonia,ENDANGERED,Birds,31.0
Estonia,ENDANGERED,Fish,1.0
Estonia,ENDANGERED,Freshwater Fish,1.0
Estonia,ENDANGERED,Invertebrates,43.0
Estonia,ENDANGERED,Lichens,74.0
Estonia,ENDANGERED,Marine Fish,1.0
Estonia,ENDANGERED,Mosses,24.0
Estonia,ENDANGERED,Vascular plants,67.0
Estonia,TOT_KNOWN,Birds,234.0
Estonia,TOT_KNOWN,Fish,103.0
Estonia,TOT_KNOWN,Freshwater Fish,54.0
Estonia,TOT_KNOWN,Invertebrates,9808.0
Estonia,TOT_KNOWN,Lichens,556.0
Estonia,TOT_KNOWN,Marine Fish,66.0
Estonia,TOT_KNOWN,Mosses,598.0
Estonia,TOT_KNOWN,Vascular plants,2013.0
Estonia,VULNERABLE,Birds,41.0
Estonia,VULNERABLE,Fish,5.0
Estonia,VULNERABLE,Freshwater Fish,5.0
Estonia,VULNERABLE,Invertebrates,37.0
Estonia,VULNERABLE,Lichens,43.0
Estonia,VULNERABLE,Marine Fish,1.0
Estonia,VULNERABLE,Mosses,116.0
Estonia,VULNERABLE,Vascular plants,102.0
Finland,CRITICAL,Amphibians,0.0
Finland,CRITICAL,Birds,13.0
Finland,CRITICAL,Freshwater Fish,4.0
Finland,CRITICAL,Invertebrates,123.0
Finland,CRITICAL,Lichens,63.0
Finland,CRITICAL,Mammals,1.0
Finland,CRITICAL,Mosses,37.0
Finland,CRITICAL,Reptiles,0.0
Finland,CRITICAL,Vascular plants,31.0
Finland,ENDANGERED,Amphibians,1.0
Finland,ENDANGERED,Birds,36.0
Finland,ENDANGERED,Freshwater Fish,3.0
Finland,ENDANGERED,Invertebrates,393.0
Finland,ENDANGERED,Lichens,81.0
Finland,ENDANGERED,Mammals,4.0
Finland,ENDANGERED,Mosses,70.0
Finland,ENDANGERED,Reptiles,0.0
Finland,ENDANGERED,Vascular plants,88.0
Finland,TOT_KNOWN,Amphibians,7.0
Finland,TOT_KNOWN,Birds,248.0
Finland,TOT_KNOWN,Freshwater Fish,69.0
Finland,TOT_KNOWN,Invertebrates,23950.0
Finland,TOT_KNOWN,Lichens,1594.0
Finland,TOT_KNOWN,Mammals,75.0
Finland,TOT_KNOWN,Mosses,892.0
Finland,TOT_KNOWN,Reptiles,5.0
Finland,TOT_KNOWN,Vascular plants,1240.0
Finland,VULNERABLE,Amphibians,0.0
Finland,VULNERABLE,Birds,38.0
Finland,VULNERABLE,Freshwater Fish,5.0
Finland,VULNERABLE,Invertebrates,739.0
Finland,VULNERABLE,Lichens,124.0
Finland,VULNERABLE,Mammals,2.0
Finland,VULNERABLE,Mosses,76.0
Finland,VULNERABLE,Reptiles,1.0
Finland,VULNERABLE,Vascular plants,78.0
France,CRITICAL,Amphibians,0.0
France,CRITICAL,Birds,16.0
France,CRITICAL,Fish,7.0
France,CRITICAL,Freshwater Fish,4.0
France,CRITICAL,Invertebrates,18.0
France,CRITICAL,Mammals,3.0
France,CRITICAL,Marine Fish,3.0
France,CRITICAL,Reptiles,0.0
France,CRITICAL,Vascular plants,51.0
France,ENDANGERED,Amphibians,3.0
France,ENDANGERED,Birds,33.0
France,ENDANGERED,Fish,11.0
France,ENDANGERED,Freshwater Fish,6.0
France,ENDANGERED,Invertebrates,22.0
France,ENDANGERED,Mammals,4.0
France,ENDANGERED,Marine Fish,5.0
France,ENDANGERED,Reptiles,3.0
France,ENDANGERED,Vascular plants,132.0
France,TOT_KNOWN,Amphibians,35.0
France,TOT_KNOWN,Birds,396.0
France,TOT_KNOWN,Fish,163.0
France,TOT_KNOWN,Freshwater Fish,80.0
France,TOT_KNOWN,Invertebrates,1060.0
France,TOT_KNOWN,Mammals,125.0
France,TOT_KNOWN,Marine Fish,83.0
France,TOT_KNOWN,Reptiles,38.0
France,TOT_KNOWN,Vascular plants,4982.0
France,VULNERABLE,Amphibians,5.0
France,VULNERABLE,Birds,58.0
France,VULNERABLE,Fish,8.0
France,VULNERABLE,Freshwater Fish,5.0
France,VULNERABLE,Invertebrates,179.0
France,VULNERABLE,Mammals,10.0
France,VULNERABLE,Marine Fish,3.0
France,VULNERABLE,Reptiles,6.0
France,VULNERABLE,Vascular plants,238.0
